2020-05-04 04:55:25 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2020-05-04 04:55:25 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2020-05-04 04:55:25 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2020-05-04 04:55:25 status half-configured dpkg:amd64 1.19.0.5ubuntu2
2020-05-04 04:55:25 status installed dpkg:amd64 1.19.0.5ubuntu2
2020-05-04 04:55:25 startup archives install
2020-05-04 04:55:25 install libc6:amd64 <none> 2.27-3ubuntu1
2020-05-04 04:55:25 status half-installed libc6:amd64 2.27-3ubuntu1
2020-05-04 04:55:26 status unpacked libc6:amd64 2.27-3ubuntu1
2020-05-04 04:55:26 status unpacked libc6:amd64 2.27-3ubuntu1
2020-05-04 04:55:26 configure libc6:amd64 2.27-3ubuntu1 2.27-3ubuntu1
2020-05-04 04:55:26 status unpacked libc6:amd64 2.27-3ubuntu1
2020-05-04 04:55:26 status unpacked libc6:amd64 2.27-3ubuntu1
2020-05-04 04:55:26 status half-configured libc6:amd64 2.27-3ubuntu1
2020-05-04 04:55:26 status installed libc6:amd64 2.27-3ubuntu1
2020-05-04 04:55:26 startup archives install
2020-05-04 04:55:26 install perl-base:amd64 <none> 5.26.1-6
2020-05-04 04:55:26 status half-installed perl-base:amd64 5.26.1-6
2020-05-04 04:55:26 status unpacked perl-base:amd64 5.26.1-6
2020-05-04 04:55:26 status unpacked perl-base:amd64 5.26.1-6
2020-05-04 04:55:26 configure perl-base:amd64 5.26.1-6 5.26.1-6
2020-05-04 04:55:26 status unpacked perl-base:amd64 5.26.1-6
2020-05-04 04:55:26 status half-configured perl-base:amd64 5.26.1-6
2020-05-04 04:55:26 status installed perl-base:amd64 5.26.1-6
2020-05-04 04:55:26 startup archives install
2020-05-04 04:55:26 install mawk:amd64 <none> 1.3.3-17ubuntu3
2020-05-04 04:55:26 status half-installed mawk:amd64 1.3.3-17ubuntu3
2020-05-04 04:55:26 status unpacked mawk:amd64 1.3.3-17ubuntu3
2020-05-04 04:55:26 status unpacked mawk:amd64 1.3.3-17ubuntu3
2020-05-04 04:55:26 configure mawk:amd64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2020-05-04 04:55:26 status unpacked mawk:amd64 1.3.3-17ubuntu3
2020-05-04 04:55:26 status half-configured mawk:amd64 1.3.3-17ubuntu3
2020-05-04 04:55:26 status installed mawk:amd64 1.3.3-17ubuntu3
2020-05-04 04:55:26 startup archives install
2020-05-04 04:55:26 install debconf:all <none> 1.5.66
2020-05-04 04:55:26 status half-installed debconf:all 1.5.66
2020-05-04 04:55:27 status unpacked debconf:all 1.5.66
2020-05-04 04:55:27 status unpacked debconf:all 1.5.66
2020-05-04 04:55:27 configure debconf:all 1.5.66 1.5.66
2020-05-04 04:55:27 status unpacked debconf:all 1.5.66
2020-05-04 04:55:27 status unpacked debconf:all 1.5.66
2020-05-04 04:55:27 status unpacked debconf:all 1.5.66
2020-05-04 04:55:27 status half-configured debconf:all 1.5.66
2020-05-04 04:55:27 status installed debconf:all 1.5.66
2020-05-04 04:55:27 startup archives unpack
2020-05-04 04:55:27 upgrade base-files:amd64 10.1ubuntu2 10.1ubuntu2
2020-05-04 04:55:27 status half-configured base-files:amd64 10.1ubuntu2
2020-05-04 04:55:27 status unpacked base-files:amd64 10.1ubuntu2
2020-05-04 04:55:27 status half-installed base-files:amd64 10.1ubuntu2
2020-05-04 04:55:27 status half-installed base-files:amd64 10.1ubuntu2
2020-05-04 04:55:27 status unpacked base-files:amd64 10.1ubuntu2
2020-05-04 04:55:27 status unpacked base-files:amd64 10.1ubuntu2
2020-05-04 04:55:27 upgrade base-passwd:amd64 3.5.44 3.5.44
2020-05-04 04:55:27 status half-configured base-passwd:amd64 3.5.44
2020-05-04 04:55:27 status unpacked base-passwd:amd64 3.5.44
2020-05-04 04:55:27 status half-installed base-passwd:amd64 3.5.44
2020-05-04 04:55:27 status half-installed base-passwd:amd64 3.5.44
2020-05-04 04:55:27 status unpacked base-passwd:amd64 3.5.44
2020-05-04 04:55:27 status unpacked base-passwd:amd64 3.5.44
2020-05-04 04:55:27 install bash:amd64 <none> 4.4.18-2ubuntu1
2020-05-04 04:55:27 status half-installed bash:amd64 4.4.18-2ubuntu1
2020-05-04 04:55:27 status unpacked bash:amd64 4.4.18-2ubuntu1
2020-05-04 04:55:27 status unpacked bash:amd64 4.4.18-2ubuntu1
2020-05-04 04:55:27 install bsdutils:amd64 <none> 1:2.31.1-0.4ubuntu3
2020-05-04 04:55:27 status half-installed bsdutils:amd64 1:2.31.1-0.4ubuntu3
2020-05-04 04:55:27 status unpacked bsdutils:amd64 1:2.31.1-0.4ubuntu3
2020-05-04 04:55:27 status unpacked bsdutils:amd64 1:2.31.1-0.4ubuntu3
2020-05-04 04:55:27 install coreutils:amd64 <none> 8.28-1ubuntu1
2020-05-04 04:55:27 status half-installed coreutils:amd64 8.28-1ubuntu1
2020-05-04 04:55:28 status unpacked coreutils:amd64 8.28-1ubuntu1
2020-05-04 04:55:28 status unpacked coreutils:amd64 8.28-1ubuntu1
2020-05-04 04:55:28 install dash:amd64 <none> 0.5.8-2.10
2020-05-04 04:55:28 status half-installed dash:amd64 0.5.8-2.10
2020-05-04 04:55:28 status unpacked dash:amd64 0.5.8-2.10
2020-05-04 04:55:28 status unpacked dash:amd64 0.5.8-2.10
2020-05-04 04:55:28 upgrade debconf:all 1.5.66 1.5.66
2020-05-04 04:55:28 status half-configured debconf:all 1.5.66
2020-05-04 04:55:28 status unpacked debconf:all 1.5.66
2020-05-04 04:55:28 status half-installed debconf:all 1.5.66
2020-05-04 04:55:28 status half-installed debconf:all 1.5.66
2020-05-04 04:55:28 status unpacked debconf:all 1.5.66
2020-05-04 04:55:28 status unpacked debconf:all 1.5.66
2020-05-04 04:55:28 install debianutils:amd64 <none> 4.8.4
2020-05-04 04:55:28 status half-installed debianutils:amd64 4.8.4
2020-05-04 04:55:28 status unpacked debianutils:amd64 4.8.4
2020-05-04 04:55:28 status unpacked debianutils:amd64 4.8.4
2020-05-04 04:55:28 install diffutils:amd64 <none> 1:3.6-1
2020-05-04 04:55:28 status half-installed diffutils:amd64 1:3.6-1
2020-05-04 04:55:28 status unpacked diffutils:amd64 1:3.6-1
2020-05-04 04:55:28 status unpacked diffutils:amd64 1:3.6-1
2020-05-04 04:55:28 upgrade dpkg:amd64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2020-05-04 04:55:28 status half-configured dpkg:amd64 1.19.0.5ubuntu2
2020-05-04 04:55:28 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2020-05-04 04:55:28 status half-installed dpkg:amd64 1.19.0.5ubuntu2
2020-05-04 04:55:28 status half-installed dpkg:amd64 1.19.0.5ubuntu2
2020-05-04 04:55:28 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2020-05-04 04:55:28 status unpacked dpkg:amd64 1.19.0.5ubuntu2
